"","event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","FID","geometry"
"1171","KEN11325","2023-04-04",2023,1,"Political violence","Battles","Armed clash","POLICE FORCES OF KENYA (2022-)","",1,"UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","Ndoto","Loikumkum",1,"K24; Kenya Broadcasting Corporation; National Police Service-Kenya; Twitter","Other-New media","ON 4 APRIL 2023, UNKNOWN MILITIA (DESCRIBED AS BANDITS) MADE AWAY WITH 10 CAMELS AT MPAAS AREA OF LOIKUMKUM (SAMBURU NORTH, SAMBURU) STOLEN FROM A GRAZING FIELD. POLICE SUBDUED THE MILITIA AND RECOVERED SIX CAMELS. CASUALTIES UNKNOWN.",0,"",1681225749,46,c(37.1384, 1.6848)
"1173","KEN11335","2023-04-04",2023,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Lolmolog",2,"Citizen (Kenya); Kenya Broadcasting Corporation; Twitter","New media-National","ON 4 APRIL 2023, (OVERNIGHT), UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) KILLED TWO PEOPLE AND INJURED TWO OTHERS IN LOLMOLOG AND NKUSORO VILLAGES (CODED AS LOLMOLOG, SAMBURU CENTRAL, SAMBURU). SOME SOURCES MENTION THAT UNKNOWN NUMBER OF LIVESTOCK WAS STOLEN.",2,"",1681225749,48,c(36.499, 0.9381)
"1235","KEN11327","2023-04-02",2023,1,"Political violence","Battles","Armed clash","WARDEI ETHNIC MILITIA (KENYA)","",4,"WAILWANA ETHNIC MILITIA (KENYA)","",4,44,"",404,"Eastern Africa","Kenya","Tana River","Bura","Madogo","Madogo",2,"K24; NTV (Kenya)","New media-National","ON 2 APRIL 2023, SUSPECTED WARDEI AND WAILWANA PASTORAL COMMUNITIES CLASHED WITH ONE ANOTHER IN VANGA VILLAGE NEAR MADOGO (BURA, TANA RIVER) FOLLOWING THE INVASION OF LIVESTOCK IN THEIR HOMES ONE PERSON WAS KILLED AND SEVERAL HOUSES TORCHED. CALM WAS RESTORED AFTER SECURITY OFFICERS INTERVENED AND ARRESTED THOSE ENGAGING IN LOOTING OF LIVESTOCK.",1,"",1681225749,53,c(39.5952, -0.4711)
"1251","KEN11362","2023-04-01",2023,2,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","AL SHABAAB","",2,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Garissa","Ijara","Ijara","Ijara",1,"Star (Kenya)","National","AROUND 1 APRIL 2023 (AS REPORTED), A SUSPECTED AL SHABAAB EXPLOSIVE DEVICE DETONATED, INJURING A HERDER IN THE DADWESA AREA OF IJARA (IJARA, GARISSA) AFTER THE HERDER TINKERED WITH IT.",0,"",1681225749,55,c(40.5144, -1.5952)
"1265","KEN11311","2023-03-31",2023,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","WOMEN (KENYA); PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Longewan",1,"Citizen (Kenya)","National","AROUND 31 MARCH 2023 (AS REPORTED), SUSPECTED POKOT MILITIA ATTACKED AND BEAT UP A WOMAN HERDER IN LONGEWAN (SAMBURU CENTRAL, SAMBURU) BEFORE DRIVING AWAY WITH UNKNOWN NUMBER OF GOATS.",0,"",1680542328,56,c(36.5422, 0.858)
"1332","KEN11310","2023-03-29",2023,2,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Suyan",2,"Kenya Broadcasting Corporation; National Police Service-Kenya; Star (Kenya)","Other-National","AROUND 29 MARCH 2023 (AS REPORTED), UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) ATTACKED AND MADE AWAY WITH 15 CAMELS AT SULUBEI GRAZING FIELDS NEAR SUYAN (SAMBURU NORTH, SAMBURU) BEFORE BEING REPULSED BY POLICE OFFICERS.",0,"",1680542328,57,c(36.8467, 1.4425)
"1352","KEN11294","2023-03-28",2023,2,"Strategic developments","Strategic developments","Non-violent transfer of territory","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"","",0,40,"",404,"Eastern Africa","Kenya","Lamu","Lamu West","Witu","Witu",3,"Star (Kenya)","National","AROUND 28 MARCH 2023 (AS REPORTED), HUNDREDS OF UNIDENTIFIED HERDERS (DESCRIBED AS NON-LOCAL HERDERS FROM TANA RIVER, GARISSA, AND NEIGHBORING COUNTIES) INVADED VARIOUS AREAS OF LAMU COUNTY (CODED AS WITU, LAMU WEST, LAMU) IN SEARCH OF WATER AND PASTURE FOR THEIR LIVESTOCK.",0,"",1680542328,61,c(40.4382, -2.3889)
"1353","KEN11306","2023-03-28",2023,1,"Strategic developments","Strategic developments","Other","GOVERNMENT OF KENYA (2022-)","",1,"","",0,10,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"Daily Nation (Kenya); Star (Kenya)","National","OTHER: ON 28 MARCH 2023, SAMBURU WEST MEMBER OF PARLIAMENT ISSUED A 3 DAY ULTIMATUM TO THE GOVERNMENT TO ADDRESS THE INSECURITY CHALLENGES IN SAMBURU (CODED AS MARALAL, SAMBURU CENTRAL, SAMBURU), OR SHE WILL LEAD A PROTEST, FOLLOWING INCREASED PASTORAL MILITIA ATTACKS.",0,"",1680542328,62,c(36.698, 1.0968)
"1447","KEN11302","2023-03-25",2023,2,"Demonstrations","Protests","Peaceful protest","PROTESTERS (KENYA)","",6,"","",0,60,"",404,"Eastern Africa","Kenya","Samburu","Samburu East","Waso","Archers Post",2,"Kenya Broadcasting Corporation","National","AROUND 25 MARCH 2023 (AS REPORTED), RESIDENTS PROTESTED IN LORUMBAE AND LMISIGIOI VILLAGES (CODED AS ARCHERS POST, SAMBURU EAST, SAMBURU) AGAINST INCREASED INSECURITY, FOLLOWING THE KILLING OF THREE PEOPLE BY SUSPECTED PASTORAL MILITIA (CODED SEPARATELY). THE GROUP DEMANDED THE SECURITY AUTHORITIES TO ADDRESS THEIR GRIEVANCE.",0,"crowd size=no report",1680542328,64,c(37.6752, 0.644)
"1448","KEN11308","2023-03-25",2023,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu East","Waso","Archers Post",2,"Kenya Broadcasting Corporation","National","AROUND 25 MARCH 2023 (AS REPORTED), UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) SHOT AND KILLED TWO PEOPLE IN LORUMBAE VILLAGE NEAR ARCHERS POST (SAMBURU EAST, SAMBURU). THE MOTIVE OF THE ATTACK REMAINS UNCLEAR.",2,"",1680542328,65,c(37.6752, 0.644)
"1449","KEN11317","2023-03-25",2023,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",3,"Kenya Broadcasting Corporation","National","AROUND 25 MARCH 2023 (AS REPORTED), UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) SHOT AND KILLED ONE PERSON BEFORE DRIVING AWAY WITH 180 HERDS OF CATTLE IN LMISIGIOI VILLAGE (CODED AS MARALAL, SAMBURU CENTRAL, SAMBURU).",1,"",1680542328,66,c(36.698, 1.0968)
"1471","KEN11222","2023-03-24",2023,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu East","Waso","Archers Post",2,"Citizen (Kenya)","National","ON 24 MARCH 2023, UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) SHOT AND KILLED THREE HERDERS AT LOLURUBAI NEAR ARCHERS POST (SAMBURU EAST, SAMBURU) BEFORE DRIVING AWAY WITH 93 HEADS OF CATTLE. THE MOTIVE WAS ALLEGEDLY DUE TO A RETALIATORY ATTACK.",3,"",1679931186,67,c(37.6752, 0.644)
"1504","KEN11261","2023-03-23",2023,2,"Strategic developments","Strategic developments","Looting/property destruction","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",2,"Star (Kenya)","National","LOOTING: AROUND 23 MARCH 2023 (AS REPORTED), SUSPECTED POKOT MILITIA (DESCRIBED AS COMING FROM BARINGO) RAIDED NOOKERA VILLAGE (CODED AS BARAGOI, SAMBURU NORTH, SAMBURU), BEFORE MAKING AWAY WITH ABOUT 80 GOATS AND SHEEP.",0,"",1680542327,68,c(36.7833, 1.7833)
"1519","KEN11225","2023-03-22",2023,1,"Political violence","Battles","Armed clash","POLICE FORCES OF KENYA (2022-)","",1,"UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Loosuk","Pura",2,"Citizen (Kenya)","National","ON 22 MARCH 2023, AN ARMED CLASH ENSUED BETWEEN SECURITY OFFICERS (CODED AS POLICE) AND UNIDENTIFIED MILITIA (DESCRIBED AS LIVESTOCK THIEVES) AT NKUSORO VILLAGE NEAR PURA (SAMBURU CENTRAL, SAMBURU) AFTER THE MILITIA RAIDED AND MADE AWAY WITH 150 GOATS. CASUALTIES UNKNOWN.",0,"",1679931186,69,c(36.5278, 1.13)
"1536","KEN11224","2023-03-22",2023,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA); GOVERNMENT OF KENYA (2022-)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Loosuk","Pura",2,"Citizen (Kenya)","National","ON 22 MARCH 2023, AN UNIDENTIFIED MILITIA (DESCRIBED AS CATTLE THIEVES) SHOT AT THREE HERDERS AND THE AREA ASSISTANT CHIEF AT LOOSUK VILLAGE (CODED AS PURA, LOOSUK, SAMBURU CENTRAL, SAMBURU) BEFORE DRIVING AWAY WITH 100 LIVESTOCK. THE HERDERS AND THE ASSISTANT CHIEF ESCAPED UNHURT.",0,"",1680570815,70,c(36.5278, 1.13)
"1557","KEN11304","2023-03-21",2023,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Isiolo","Bula Pesa","Isiolo",3,"Star (Kenya)","National","ON 21 MARCH 2023, UNIDENTIFIED MILITIA (DESCRIBED AS RUSTLERS) ATTEMPTED TO STEAL ANIMALS, BEFORE SHOOTING AND KILLING A HERDER IN EREMIET LOCATION (CODED TO THE COUNTY HEADQUARTERS AS ISIOLO, ISIOLO, ISIOLO).",1,"",1680542328,71,c(37.5822, 0.3546)
"1610","KEN11309","2023-03-20",2023,1,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"UNIDENTIFIED ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Marti",1,"Star (Kenya)","National","ON 20 MARCH 2023, UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) RAIDED AND KILLED 12 COWS AND MADE AWAY WITH 30 OTHERS IN MARTI (SAMBURU NORTH, SAMBURU) BEFORE BEING REPULSED BY THE HERDERS. ONE MILITANT WAS KILLED DURING THE INCIDENT.",1,"",1680542328,72,c(36.7236, 1.4771)
"1708","KEN11151","2023-03-16",2023,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Longewan",1,"Citizen (Kenya)","National","ON 16 MARCH 2023, OVERNIGHT, SUSPECTED POKOT MILITIA SHOT AND INJURED ONE PERSON BEFORE MAKING AWAY WITH 150 GOATS IN LONGEWAN (SAMBURU CENTRAL, SAMBURU).",0,"",1679360328,75,c(36.5422, 0.858)
